,playerId,nameFirst,nameLast,position,collegeId,Games played,nflId,Player Code,Team Code,Conference Code,NFL Forced Fumbles,NFL Fumble Turnover,NFL Interceptions,NFL Interception Yards,NFL Passing Yards,passAtt,passComp,NFL Passing TDs,NFL Pass Interceptions,NFL Yards per Completion,NFL Receptions,NFL Reception Yards,NFL Fumble on Reception,NFL Rushing Yards,NFL Rushing TDs,NFL Sacks,NFL Sack Yards,NFL Tackles,NCAA Games played,NCAA Yards per Carry,NCAA Rush TDs per Game,NCAA Pass Completion,NCAA Yards per Completion,NCAA Pass TDs per Game,NCAA Reception TDs per Game,NCAA Yards per Reception,NCAA Solo Tackle per Game,NCAA Assisted Tackle per Game,NCAA Tackle for Loss per Game,NCAA Yards per Tackle for Loss,NCAA Sacks per Game,NCAA Yards per Sack,NCAA Forced Fumbles per Game,NCAA Fumbles per Game,NCAA Broken up Pass per Game
270,20130127,Malliciah,Goodman,DE,29631.0,24,2539215.0,1023616,147,821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-30.0,51.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.18,0.48,4.38,0.26,6.56,0.16,0.0,0.06
271,20110230,Cliff,Matthews,DE,29208.0,11,2495198.0,1010934,648,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.95,0.65,3.83,0.42,4.52,0.19,0.0,0.14
272,20140139,Prince,Shembo,OLB,46556.0,20,2543835.0,1033315,513,99001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-27.0,193.5,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.64,0.52,6.43,0.41,7.51,0.02,0.0,0.02
273,20100050,Javier,Arenas,DB,35487.0,10,494249.0,1000038,8,911,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,9.0,-87.0,213.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1.59,0.54,6.83,0.26,10.57,0.0,0.19,0.44
274,20140464,Carrington,Byndom,DB,78712.0,9,2550548.0,1034272,703,25354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.88,0.25,3.08,0.02,8.0,0.06,0.0,0.54
275,20110093,Chris,Conte,DB,94720.0,32,2495272.0,1008477,107,905,0.0,0.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.5,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,1.45,0.1,3.33,0.0,0.0,0.06,0.0,0.35
276,20110954,Craig,Robertson,LB,76203.0,59,2532431.0,1002609,497,818,0.0,0.0,16.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-107.0,721.5,36,64.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,4.86,0.6,3.21,0.1,6.0,0.08,0.03,0.28
277,20140981,K'Waun,Williams,DB,15260.0,50,2550654.0,1033595,545,823,0.0,0.0,8.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-92.0,438.5,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.75,0.26,2.7,0.01,4.0,0.07,0.0,0.39
278,20120205,Billy,Winn,DT,83725.0,18,2532976.0,1008298,66,923,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-42.0,113.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,1.33,0.72,4.19,0.33,6.29,0.06,0.0,0.13
279,20090667,Danny,Gorrer,DB,77843.0,12,2507727.0,83307,697,25354,0.0,0.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.1,0.2,11.5,0.2,11.5,0.0,0.0,0.2
280,20140417,Nosa,Eguae,DE,36849.0,4,2550195.0,1023142,37,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.87,0.46,2.71,0.14,4.62,0.0,0.02,0.02
281,20120249,Travian,Robertson,DT,29208.0,5,2532987.0,1010921,648,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,1.26,0.54,3.0,0.17,6.0,0.05,0.0,0.1
282,20130054,Jamar,Taylor,DB,83725.0,51,2539932.0,1022754,66,923,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-28.0,375.0,39,1.5,0.0,0.0,0.0,0.0,0.0,8.0,2.21,1.03,0.23,5.33,0.1,8.75,0.15,0.05,0.46
283,20100081,Earl,Mitchell,DT,85721.0,45,496822.0,1000166,29,905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,-100.0,323.5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,1.73,0.82,3.33,0.36,5.25,0.05,0.0,0.09
284,20120608,Derrick,Shelby,DE,84112.0,40,2532989.0,1011807,732,5486,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-95.0,216.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.11,0.59,4.59,0.22,8.2,0.11,0.0,0.26
285,20140630,Andrew,Wilson,LB,65211.0,4,2550513.0,1025007,434,25354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.16,0.39,2.21,0.03,6.67,0.1,0.0,0.14
286,20100146,Cam,Thomas,DT,27599.0,26,496865.0,85775,457,821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,-75.0,137.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,1.12,0.24,2.0,0.04,5.0,0.0,0.0,0.0
